"Race/Ethnicity","Sex","Department","Age","Hourly Rate","Regular/Temporary","Employee Status"
"White","Female","Seattle Fire Department","60","84.77","R","Active"
"White","Male","Seattle Center","30","26.92","T","Active"
"White","Male","Seattle Fire Department","53","84.77","R","Active"
"White","Female","Seattle Public Utilities","25","27.67","T","Active"
"White","Male","Seattle Fire Department","39","54.55","R","Active"
"Asian","Female","Seattle City Light","21","22.56","T","Active"
"White","Male","Seattle Public Utilities","63","92.49","R","Active"
"White","Male","Seattle Fire Department","33","54.55","R","Active"
"White","Female","Law Department","29","53.18","R","Active"
"White","Male","Seattle Department of Transportation","40","46.42","R","Active"
"Black or African American","Female","Office of Economic Development and Special Events Office","64","48.31","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle City Light","43","38.92","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Public Utilities","67","43.39","R","Active"
"White","Male","Office of Labor Standards","43","63.57","R","Active"
"Asian","Male","Seattle Public Utilities","42","44.08","R","Active"
"White","Female","Seattle Public Utilities","53","48.77","R","Leave with Pay"
"White","Female","Construction and Inspections","35","55.19","R","Active"
"White","Male","Seattle Police Department","40","43.12","R","Active"
"White","Male","Parks and Recreation Department","47","50.33","R","Active"
"White","Male","Seattle Public Utilities","39","63.68","R","Active"
"White","Male","Seattle City Light","57","69.56","R","Active"
"White","Male","Information Technology","41","77.63","R","Active"
"White","Male","Community Safety and Communication Center","30","49.88","R","Active"
"White","Female","Seattle Police Department","43","78.30","R","Active"
"White","Female","Seattle Public Utilities","48","44.92","R","Active"
"White","Male","Seattle Fire Department","41","58.15","R","Active"
"White","Female","Parks and Recreation Department","57","77.55","R","Active"
"White","Male","Seattle Public Utilities","58","38.84","R","Active"
"White","Male","Seattle Police Department","56","77.57","R","Active"
"White","Male","Seattle Public Utilities","54","44.92","R","Leave with Pay"
"Asian","Male","Seattle City Light","56","66.81","R","Active"
"Not Specified","Male","Parks and Recreation Department","55","26.92","T","Active"
"Black or African American","Male","Finance and Administrative Service","43","53.95","R","Active"
"Two or More Races","Male","Seattle Police Department","55","51.84","R","Active"
"White","Male","Seattle Fire Department","41","55.06","R","Active"
"White","Male","Seattle Center","51","57.31","R","Active"
"White","Male","Seattle Fire Department","43","68.26","R","Active"
"White","Male","Seattle Police Department","35","87.98","R","Active"
"Asian","Female","Seattle Police Department","53","41.31","R","Active"
"Two or More Races","Female","Parks and Recreation Department","51","63.19","R","Active"
"White","Male","Parks and Recreation Department","44","85.58","R","Active"
"White","Male","Seattle Police Department","40","76.46","R","Active"
"White","Male","Seattle City Light","43","73.66","R","Active"
"White","Female","Seattle City Light","42","55.19","R","Active"
"Black or African American","Female","Parks and Recreation Department","38","65.54","R","Active"
"White","Male","Seattle Department of Transportation","60","49.92","R","Active"
"Asian","Male","Seattle Department of Transportation","40","62.40","R","Active"
"White","Male","Seattle City Light","62","73.66","R","Active"
"White","Male","Seattle Public Utilities","47","70.35","R","Active"
"White","Female","Seattle Police Department","41","46.16","R","Active"
"White","Male","Seattle Fire Department","38","55.06","R","Active"
"Not Specified","Male","Seattle Public Utilities","46","72.73","R","Active"
"White","Female","Human Services","55","48.58","R","Active"
"White","Male","City Budget Office","44","75.11","R","Active"
"Hispanic or Latino/a/x","Male","Human Services","47","76.01","R","Leave with Pay"
"Asian","Male","Information Technology","32","78.28","R","Active"
"Two or More Races","Male","Parks and Recreation Department","53","34.32","R","Active"
"Black or African American","Male","Seattle Public Utilities","35","37.06","R","Leave with Pay"
"Asian","Female","Housing Office","48","55.19","R","Active"
"White","Male","Seattle Center","71","77.37","R","Active"
"White","Male","Parks and Recreation Department","60","54.03","R","Active"
"Black or African American","Female","Parks and Recreation Department","63","59.37","R","Active"
"Black or African American","Female","Seattle Public Utilities","64","55.19","R","Active"
"White","Female","Seattle Department of Transportation","30","60.55","R","Active"
"White","Male","Seattle City Light","66","110.35","R","Active"
"Black or African American","Male","Seattle Center","49","110.00","R","Active"
"Hispanic or Latino/a/x","Female","Seattle Police Department","29","60.51","R","Active"
"White","Male","Seattle Police Department","49","87.98","R","Active"
"Black or African American","Male","Seattle City Light","40","52.17","R","Active"
"Asian","Female","Seattle Police Department","48","37.18","R","Active"
"White","Male","Seattle Police Department","40","76.46","R","Active"
"Asian","Female","Seattle City Light","55","77.36","R","Active"
"White","Female","Law Department","33","63.31","R","Active"
"Asian","Female","Seattle Public Library","64","36.27","R","Active"
"Asian","Female","Human Services","36","53.14","R","Active"
"White","Male","Seattle City Light","47","77.36","R","Active"
"Asian","Male","Seattle City Light","33","22.48","R","Active"
"Two or More Races","Male","Seattle Police Department","40","76.46","R","Active"
"Hispanic or Latino/a/x","Female","Education and Early Learning","33","50.33","R","Active"
"Asian","Male","Seattle Center","62","77.49","R","Leave with Pay"
"Hispanic or Latino/a/x","Female","Human Services","34","46.43","R","Active"
"Black or African American","Female","Seattle Police Department","57","59.25","R","Active"
"White","Male","Parks and Recreation Department","28","51.24","R","Active"
"Asian","Female","Human Services","54","50.42","R","Active"
"White","Male","Parks and Recreation Department","66","38.84","R","Active"
"White","Male","Finance and Administrative Service","67","74.44","R","Active"
"White","Male","Seattle City Light","30","87.02","R","Active"
"White","Male","Seattle City Light","35","48.25","R","Active"
"White","Female","Law Department","40","85.58","R","Active"
"Black or African American","Male","Seattle City Light","62","47.39","R","Active"
"White","Male","Seattle Public Utilities","46","48.87","R","Active"
"White","Male","Seattle Public Utilities","28","60.59","R","Active"
"White","Male","Seattle Fire Department","59","61.51","R","Active"
"White","Male","Seattle Police Department","53","76.46","R","Active"
"White","Male","Seattle Public Library","39","47.24","R","Active"
"White","Male","Seattle City Light","39","77.36","R","Leave with Pay"
"Black or African American","Female","Housing Office","43","53.14","R","Active"
"Black or African American","Male","Community Safety and Communication Center","31","92.84","R","Active"
"White","Male","Seattle City Light","61","65.10","R","Active"
"American Indian or Alaska Native","Female","Seattle Police Department","37","37.18","R","Active"
"White","Female","Construction and Inspections","28","51.24","R","Active"
"Asian","Female","Office of Labor Standards","43","65.54","R","Leave with Pay"
"Asian","Male","Seattle Fire Department","61","55.06","R","Active"
"White","Male","Information Technology","56","75.91","R","Active"
"White","Male","Seattle City Light","69","77.36","R","Active"
"White","Male","Seattle Department of Transportation","58","73.66","R","Active"
"Black or African American","Male","Information Technology","63","73.64","R","Active"
"White","Female","Seattle Public Library","55","54.46","R","Active"
"Two or More Races","Non-Specified","Seattle Public Library","30","35.72","R","Active"
"White","Female","Seattle Department of Transportation","60","70.35","R","Active"
"Hispanic or Latino/a/x","Female","Seattle Department of Transportation","45","107.13","R","Active"
"Asian","Female","Seattle Public Library","37","47.24","R","Active"
"White","Female","Seattle City Light","61","77.36","R","Active"
"Not Specified","Male","Seattle Municipal Courts","53","54.14","R","Active"
"White","Male","Seattle Police Department","22","37.18","R","Active"
"White","Male","Finance and Administrative Service","36","54.46","R","Active"
"Black or African American","Female","Parks and Recreation Department","34","50.42","R","Active"
"White","Male","Seattle Police Department","58","76.46","R","Active"
"White","Male","Seattle Municipal Courts","51","93.40","R","Active"
"White","Male","Seattle Municipal Courts","60","58.52","R","Active"
"White","Male","Seattle Police Department","42","73.95","R","Active"
"Black or African American","Male","Parks and Recreation Department","64","37.95","R","Active"
"White","Male","Construction and Inspections","55","70.40","R","Active"
"American Indian or Alaska Native","Male","Information Technology","47","82.36","R","Active"
"White","Female","Seattle Fire Department","33","62.54","R","Active"
"Black or African American","Female","Parks and Recreation Department","53","37.95","R","Active"
"American Indian or Alaska Native","Female","Seattle Department of Transportation","69","41.92","R","Leave Of Absence"
"White","Male","Seattle Police Department","33","76.46","R","Active"
"American Indian or Alaska Native","Male","Seattle Fire Department","37","55.06","R","Active"
"White","Female","Seattle Department of Transportation","57","73.66","R","Active"
"Asian","Male","Construction and Inspections","47","78.76","R","Active"
"White","Female","Seattle City Light","53","75.73","R","Active"
"Black or African American","Male","Education and Early Learning","40","52.18","R","Active"
"White","Male","Construction and Inspections","63","78.76","R","Active"
"White","Male","Information Technology","54","92.52","R","Active"
"White","Male","Seattle Public Utilities","43","87.31","R","Active"
"Black or African American","Female","Seattle City Light","43","82.33","R","Active"
"Not Specified","Female","Law Department","44","75.22","R","Active"
